
2024/10/09 (21:20:10) | ===> btop++ v.1.4.0
2024/10/09 (21:20:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (18:48:34) | ===> btop++ v.1.4.0
2024/10/18 (18:48:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (18:53:20) | ===> btop++ v.1.4.0
2024/10/18 (18:53:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:00:14) | ===> btop++ v.1.4.0
2024/10/18 (19:00:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:01:31) | ===> btop++ v.1.4.0
2024/10/18 (19:01:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (21:06:10) | ===> btop++ v.1.4.0
2024/10/23 (21:06:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (14:55:06) | ===> btop++ v.1.4.0
2024/10/26 (14:55:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (15:23:34) | ===> btop++ v.1.4.0
2024/10/26 (15:23:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (15:30:05) | ===> btop++ v.1.4.0
2024/10/26 (15:30:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (15:46:57) | ===> btop++ v.1.4.0
2024/10/26 (15:46:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (16:12:14) | ===> btop++ v.1.4.0
2024/10/26 (16:12:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (16:33:34) | ===> btop++ v.1.4.0
2024/10/26 (16:33:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (07:32:50) | ===> btop++ v.1.4.0
2024/11/30 (07:32:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (07:59:59) | ===> btop++ v.1.4.0
2024/11/30 (07:59:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (08:13:40) | ===> btop++ v.1.4.0
2024/11/30 (08:13:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/04 (18:47:30) | ===> btop++ v.1.4.0
2024/12/04 (18:47:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (09:05:11) | ===> btop++ v.1.4.0
2024/12/06 (09:05:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (09:25:34) | ===> btop++ v.1.4.0
2024/12/29 (09:25:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/29 (09:42:26) | ===> btop++ v.1.4.0
2024/12/29 (09:42:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (16:33:30) | ===> btop++ v.1.4.0
2025/01/21 (16:33:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/29 (20:18:32) | ===> btop++ v.1.4.0
2025/01/29 (20:18:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (18:32:27) | ===> btop++ v.1.4.0
2025/02/14 (18:32:27) | WARNING: Intel GPU: Failed to initialize PMU
